"","Urban.rural","Market","Download.speed..Mbit.s..24.hrs","Upload.speed..Mbit.s.24.hour","DNS.resolution..ms.24.hour","Latency..ms.24.hour","Web.page..ms.24.hour"
"331","Urban",3,12.0106,1.062,29.644,11.023,879.5
"332","Rural",1,6.537,0.371,NA,49.487,NA
"333","Urban",3,2.7305,0.758,36.421,31.972,1724.703
"334","Urban",3,11.975,0.84,23.151,22.338,860.499
"335","Urban",3,9.4744,0.582,35.821,27.5,1261.547
"336","Rural",2,6.5054,0.903,25.112,22.804,731.406
"337","Urban",3,4.4344,0.595,47.987,47.962,1553.803
"338","Urban",3,11.3357,0.976,29.695,29.874,563.348
"339","Urban",3,19.2613,1.19,21.443,19.259,428.476
"340","Rural",1,6.4454,0.839,25.793,22.289,716.55
"341","Urban",3,12.8885,0.633,30.129,20.473,2267.171
"342","Urban",3,34.9127,1.865,NA,13.639,NA
"343","Urban",3,8.4111,1.022,9.169,7.591,912.032
"344","Urban",1,4.0132,0.594,47.55,44.618,1117.962
"345","Urban",2,4.8121,0.806,NA,27.978,1028.089
"346","Urban",3,5.8474,0.804,43.563,36.893,875.712
"347","Urban",3,28.6264,17.471,10.267,13.078,312.154
"348","Rural",1,1.3248,0.543,52.178,43.33,2920.668
"349","Urban",2,16.311,1.03,27.162,23.77,NA
"350","Urban",3,7.8402,0.746,NA,22.925,NA
"351","Urban",2,0.8593,0.351,33.911,31.956,3798.019
"352","Urban",2,2.0855,0.677,37.736,33.099,1916.88
"353","Urban",2,9.9979,0.658,25.056,26.331,769.637
"354","Urban",3,2.117,0.937,32.972,25.444,2522.259
"355","Rural",1,1.1754,0.403,53.16,55.875,5317.991
"356","Urban",3,7.7014,0.738,44.697,38.669,909.612
"357","Rural",1,1.7537,0.369,16.588,15.034,2054.734
"358","Urban",2,33.4981,9.309,21.629,11.801,463.414
"359","Urban",1,16.2468,1.088,14.293,13.186,597.987
"360","Urban",3,11.9206,0.862,21.884,14.543,619.31
"361","Urban",3,19.7113,1.949,15.085,16.287,615.917
"362","Urban",3,13.3742,0.857,15.038,14.427,417.902
"363","Rural",1,1.7423,0.373,55.174,54.768,2712.07
"364","Rural",3,1.1196,0.335,34.754,38.123,3854.067
"365","Urban",3,34.2525,1.702,NA,17.789,NA
"366","Urban",3,2.4186,0.324,38.465,27.797,1779.328
"367","Urban",3,12.5795,0.857,35.168,28.307,555.263
"368","Rural",1,1.3342,0.381,NA,42.193,NA
"369","Urban",2,5.0171,0.981,28.208,27.346,873.912
"370","Urban",3,13.872,0.372,17.04,16.752,530.805
"371","Rural",2,2.5222,0.675,51.002,39.215,1909.942
"372","Urban",3,10.5016,0.901,29.348,22.279,507.71
"373","Urban",3,34.386,1.696,18.076,14.273,429.439
"374","Urban",3,5.7737,1.031,26.161,19.23,1211.236
"375","Rural",1,1.4227,0.354,31.42,25.219,2771.191
"376","Urban",3,15.5031,5.586,31.904,28.337,512.079
"377","Rural",2,34.6595,9.161,23.16,22.003,388.516
"378","Urban",3,5.5115,0.87,30.746,24.466,1121.094
"379","Urban",3,35.9462,17.624,11.996,12.172,350.249
"380","Urban",2,36.575,9.406,18.12,11.442,326.808
"381","Rural",1,2.2819,0.369,25.823,24.002,2141.418
"382","Urban",3,19.3675,1.073,18.139,9.672,392.843
"383","Rural",1,3.1927,0.379,NA,24.348,NA
"384","Rural",1,2.4669,0.622,38.537,29.729,1565.509
"385","Urban",3,8.3088,0.885,25.188,24.42,956.898
"386","Rural",3,0.6386,0.448,42.924,31.676,6905.913
"387","Urban",3,12.195,0.836,31.475,26.175,620.819
"388","Rural",1,4.9385,0.358,35.111,33.685,976.199
"389","Urban",1,6.66,0.371,31.632,30.83,839.583
"390","",3,5.9938,0.736,47.086,35.04,1294.686
"391","Rural",1,1.9597,0.295,47.63,47.036,2396.809
"392","Urban",3,3.8312,0.824,NA,18.678,NA
"393","Rural",1,2.0121,0.368,60.161,54.568,1999.169
"394","Urban",2,12.8827,1.045,24.031,15.68,616.249
"395","Urban",2,13.3257,1.072,NA,11.112,NA
"396","Urban",3,1.5464,0.699,32.471,32.281,2801.132
"397","Urban",3,14.758,0.809,30.502,23.346,709.848
"398","Rural",1,6.5734,0.68,25.649,27.268,729.315
"399","Urban",1,3.2011,0.448,43.003,38.531,1464.776
"400","Urban",4,7.1343,0.669,40.291,31.261,1197.964
"401","Rural",2,2.1334,0.351,41.524,41.033,2188.749
"402","Urban",3,5.4332,0.855,42.929,33.655,799.723
"403","Urban",3,10.0463,0.756,37.508,31.235,621.601
"404","Urban",3,6.7056,0.833,31.445,30.826,803.25
"405","Urban",4,8.7202,0.699,30.276,32.77,713.666
"406","Rural",1,12.7019,0.74,NA,23.504,NA
"407","Rural",1,10.7589,0.377,18.131,18.367,589.927
"408","Urban",3,6.6121,0.768,38.057,30.209,732.319
"409","Urban",3,1.8033,0.753,39.161,29.518,2070.491
"410","Urban",3,3.5901,0.722,20.633,18.962,1190.783
"411","Urban",3,36.5189,1.847,15.953,7.58,198.129
"412","Rural",1,2.3615,0.7,22.314,11.859,1541.344
"413","Rural",2,1.5263,0.399,35.776,31.399,2537.729
"414","Urban",3,10.9399,0.671,30.02,17.244,469.637
"415","Rural",0,2.8429,0.37,52.056,43.917,1484.46
"416","Urban",3,29.745,6.822,21.707,21.538,493.523
"417","Urban",2,4.959,1.107,27.494,26.176,823.347
"418","Rural",3,4.758,0.68,38.01,28.41,889.691
"419","Urban",3,70.7452,18.539,16.662,7.641,156.499
